Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Hopkins, Leonard Donald;1930-06-11;"MP (1989/12/29 - 1997/06/01)
MP (1988/11/21 - 1989/12/28)
MP (1979/05/22 - 1988/11/20)
MP (1972/10/30 - 1979/05/21)
MP (1965/11/08 - 1972/10/29)";"Renfrew--Nipissing--Pembroke (1989/12/29 - 1997/06/01)
Renfrew (1988/11/21 - 1989/12/28)
Renfrew--Nipissing--Pembroke (1979/05/22 - 1988/11/20)
Renfrew North--Nipissing East (1972/10/30 - 1979/05/21)
Renfrew North (1965/11/08 - 1972/10/29)";"Ontario
Ontario
Ontario
Ontario
Ontario";M;Liberal Party of Canada (1965/11/08 - 1997/06/01)
Horner, Robert Nesbitt;1932-07-02;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Mississauga West (1988/11/21 - 1993/10/24)
Mississauga North (1984/09/04 - 1988/11/20)";"Ontario
Ontario";M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Horning, Edward Allan;1939-06-10;MP (1988/11/21 - 1993/10/24);Okanagan Centre (1988/11/21 - 1993/10/24);British Columbia;M;Progressive Conservative Party (1988/11/21 - 1993/10/25)
Hovdebo, Stanley J.;1925-08-19;"MP (1988/11/21 - 1993/10/24)
MP (1979/11/19 - 1988/11/20)";"Saskatoon--Humboldt (1988/11/21 - 1993/10/24)
Prince Albert (1979/11/19 - 1988/11/20)";"Saskatchewan
Saskatchewan";M;New Democratic Party (1979/11/19 - 1993/10/24)
Hudon, Jean-Guy;1941-04-23;MP (1984/09/04 - 1993/10/24);Beauharnois--Salaberry (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Hughes, Kenneth Gardner;1954-02-10;MP (1988/11/21 - 1993/10/24);Macleod (1988/11/21 - 1993/10/24);Alberta;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Hunter, Lynn;1947-01-19;MP (1988/11/21 - 1993/10/24);Saanich--Gulf Islands (1988/11/21 - 1993/10/24);British Columbia;F;New Democratic Party (1988/11/21 - 1993/10/24)
Jacques, Carole;1960-06-11;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Mercier (1988/11/21 - 1993/10/24)
Montreal--Mercier (1984/09/04 - 1988/11/20)";"Quebec
Quebec";F;Progressive Conservative Party (1984/09/04 - 1993/10/24)
James, Kenneth Albert;1934-08-04;MP (1984/09/04 - 1993/10/24);Sarnia--Lambton (1984/09/04 - 1993/10/24);Ontario;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Jelinek, Otto John;1940-05-19;"MP (1988/11/21 - 1993/10/24)
MP (1979/05/22 - 1988/11/20)
MP (1972/10/30 - 1979/05/21)";"Oakville--Milton (1988/11/21 - 1993/10/24)
Halton (1979/05/22 - 1988/11/20)
High Park--Humber Valley (1972/10/30 - 1979/05/21)";"Ontario
Ontario
Ontario";M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Jessiman, Duncan James;1923-06-04;Senator (1993/05/26 - 1998/06/05);Manitoba (1993/05/26 - 1998/06/05);Manitoba;M;Progressive Conservative Party (1993/05/26 - 1998/06/05)
Johnson, Alan Arthur;1939-04-12;MP (1988/11/21 - 1993/10/24);Calgary North (1988/11/21 - 1993/10/24);Alberta;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Johnson, Janis G.;1946-04-26;Senator (1990/09/27 - 2016/09/27);"Manitoba (2009/03/30 - 2016/09/27)
Winnipeg-Interlake (1990/09/27 - 2009/03/29)";"Manitoba
Manitoba";F;"Conservative Party of Canada (2004/02/02 - 2016/09/27)
Progressive Conservative Party (1990/09/27 - 2004/02/01)"
Joncas, Jean-Luc;1936-12-15;MP (1984/09/04 - 1993/10/24);Matapédia--Matane (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Jordan, Jim;1928-09-01;MP (1988/11/21 - 1997/06/01);Leeds--Grenville (1988/11/21 - 1997/06/01);Ontario;M;Liberal Party of Canada (1988/11/21 - 1997/06/01)
Jourdenais, Fernand;1933-03-24;MP (1984/09/04 - 1993/10/24);La Prairie (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Kaplan, Robert Phillip;1936-12-26;"MP (1974/07/08 - 1993/10/24)
MP (1968/06/25 - 1972/10/29)";"York Centre (1974/07/08 - 1993/10/24)
Don Valley (1968/06/25 - 1972/10/29)";"Ontario
Ontario";M;"Liberal Party of Canada (1974/07/08 - 1993/10/24)
Liberal Party of Canada (1968/06/25 - 1972/10/29)"
Karpoff, James Capsey (Jim);1937-10-13;MP (1988/11/21 - 1993/10/24);Surrey North (1988/11/21 - 1993/10/24);British Columbia;M;New Democratic Party (1988/11/21 - 1993/10/24)
Karygiannis, Jim;1955-05-01;MP (1988/11/21 - 2014/04/01);Scarborough--Agincourt (1988/11/21 - 2014/04/01);Ontario;M;Liberal Party of Canada (1988/11/21 - 2014/04/01)
Kelleher, James Francis;1930-10-01;"MP (1984/09/04 - 1988/11/20)
Senator (1990/09/23 - 2005/10/02)";"Ontario (1990/09/23 - 2005/10/02)
Sault Ste. Marie (1984/09/04 - 1988/11/20)";"Ontario
Ontario";M;"Conservative Party of Canada (2004/02/02 - 2005/10/02)
Progressive Conservative Party (1984/09/04 - 2004/02/01)"
Kelly, William M.;1925-07-20;Senator (1982/12/23 - 2000/07/21);Port Severn (1982/12/23 - 2000/07/21);Ontario;M;Progressive Conservative Party (1982/12/23 - 2000/07/21)
Kempling, William James;1921-02-04;"MP (1979/05/22 - 1993/10/24)
MP (1972/10/30 - 1979/05/21)";"Burlington (1979/05/22 - 1993/10/24)
Halton--Wentworth (1972/10/30 - 1979/05/21)";"Ontario
Ontario";M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Kenny, Colin;1943-12-09;Senator (1984/06/29 - 2018/02/02);Rideau (1984/06/29 - 2018/02/02);Ontario;M;"Liberal Party of Canada (2014/06/30 - 2018/02/02)
Independent (2013/11/22 - 2014/06/29)
Liberal Party of Canada (1984/06/29 - 2013/11/21)"
Keon, Wilbert Joseph;1935-05-16;Senator (1990/09/27 - 2010/05/17);Ottawa (1990/09/27 - 2010/05/17);Ontario;M;"Conservative Party of Canada (2004/02/02 - 2010/05/17)
Progressive Conservative Party (1990/09/27 - 2004/02/01)"
Keyes, Stan Kazmierczak;1953-05-16;MP (1988/11/21 - 2004/06/27);Hamilton West (1988/11/21 - 2004/06/27);Ontario;M;Liberal Party of Canada (1988/11/21 - 2004/06/27)
Kilger, Robert (Bob);1944-06-28;"MP (1999/03/11 - 2004/06/27)
MP (1988/11/21 - 1999/03/10)";"Stormont--Dundas--Charlottenburgh (1999/03/11 - 2004/06/27)
Stormont--Dundas (1988/11/21 - 1999/03/10)";"Ontario
Ontario";M;Liberal Party of Canada (1988/11/21 - 2004/06/27)
Kilgour, David;1941-02-17;"MP (2004/09/01 - 2006/01/22)
MP (2004/06/28 - 2004/08/31)
MP (1988/11/21 - 2004/06/27)
MP (1979/05/22 - 1988/11/20)";"Edmonton--Mill Woods--Beaumont (2004/09/01 - 2006/01/22)
Edmonton--Beaumont (2004/06/28 - 2004/08/31)
Edmonton Southeast (1988/11/21 - 2004/06/27)
Edmonton--Strathcona (1979/05/22 - 1988/11/20)";"Alberta
Alberta
Alberta
Alberta";M;"Independent (2005/04/13 - 2008/10/13)
Liberal Party of Canada (1991/01/31 - 2005/04/12)
Independent (1990/10/25 - 1991/01/30)
Progressive Conservative Party (1979/05/22 - 1990/10/24)"
Kindy, Alex;1930-01-07;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Calgary Northeast (1988/11/21 - 1993/10/24)
Calgary East (1984/09/04 - 1988/11/20)";"Alberta
Alberta";M;"Independent (1993/05/05 - 1993/10/24)
Progressive Conservative Party (1984/09/04 - 1993/05/04)"
Kinsella, Noël A.;1939-11-27;Senator (1990/09/12 - 2014/11/27);Fredericton-York-Sunbury (1990/09/12 - 2014/11/27);New Brunswick;M;"Conservative Party of Canada (2004/02/02 - 2014/11/27)
Progressive Conservative Party (1990/09/12 - 2004/02/01)"
Kirby, Michael J.L.;1941-08-04;Senator (1984/01/13 - 2006/10/31);South Shore (1984/01/13 - 2006/10/31);Nova Scotia;M;Liberal Party of Canada (1984/01/13 - 2006/10/31)
Kolber, Ernest Leo;1929-01-17;Senator (1983/12/23 - 2004/01/18);Victoria (1983/12/23 - 2004/01/18);Quebec;M;Liberal Party of Canada (1983/12/23 - 2004/01/18)
Koury, Allan;1930-11-21;MP (1988/11/21 - 1993/10/24);Hochelaga--Maisonneuve (1988/11/21 - 1993/10/24);Quebec;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Kristiansen, Lyle Stuart;1939-05-08;"MP (1988/11/21 - 1993/10/24)
MP (1980/02/18 - 1984/09/03)";"Kootenay West--Revelstoke (1988/11/21 - 1993/10/24)
Kootenay West (1980/02/18 - 1984/09/03)";"British Columbia
British Columbia";M;"New Democratic Party (1988/11/21 - 1993/10/24)
New Democratic Party (1980/02/18 - 1984/09/03)"
Landry, Monique;1937-12-24;MP (1984/09/04 - 1993/10/24);Blainville--Deux-Montagnes (1984/09/04 - 1993/10/24);Quebec;F;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Lang, Daniel Aiken;1919-06-12;Senator (1964/02/14 - 1994/06/13);South York (1964/02/14 - 1994/06/13);Ontario;M;"Independent (1986 - 1994/06/13)
Liberal Party of Canada (1964/02/14 - 1986)"
Langan, Joy;1943-01-22;MP (1988/11/21 - 1993/10/24);Mission--Coquitlam (1988/11/21 - 1993/10/24);British Columbia;F;New Democratic Party (1988/11/21 - 1993/10/24)
Langdon, Steven W.;1946-07-14;MP (1984/09/04 - 1993/10/24);Essex--Windsor (1984/09/04 - 1993/10/24);Ontario;M;New Democratic Party (1984/09/04 - 1993/10/25)
Langlois, Charles A.;1938-03-21;MP (1988/11/21 - 1993/10/24);Manicouagan (1988/11/21 - 1993/10/24);Quebec;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Lapierre, Jean-C.;1956-05-06;"MP (2004/06/28 - 2007/01/28)
MP (1979/05/22 - 1992/08/23)";"Outremont (2004/06/28 - 2007/01/28)
Shefford (1979/05/22 - 1992/08/23)";"Quebec
Quebec";M;"Liberal Party of Canada (2004/02/05 - 2007/01/28)
Bloc Québécois (1990/12/18 - 1992/08/23)
Independent (1990/06/26 - 1990/12/17)
Liberal Party of Canada (1979/05/22 - 1990/06/25)"
Laporte, Rodney Edward;1953-10-23;MP (1988/11/21 - 1993/10/24);Moose Jaw--Lake Centre (1988/11/21 - 1993/10/24);Saskatchewan;M;New Democratic Party (1988/11/21 - 1993/10/24)
Larrivée, Gaby;1933-02-03;MP (1988/11/21 - 1993/10/24);Joliette (1988/11/21 - 1993/10/24);Quebec;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Lavoie-Roux, Thérèse;1928-03-11;Senator (1990/09/27 - 2001/03/12);Acadie (1990/09/27 - 2001/03/12);Quebec;F;Progressive Conservative Party (1990/09/27 - 2001/03/12)
Lawson, Edward M.;1929-09-23;Senator (1970/10/07 - 2004/09/24);Vancouver (1970/10/07 - 2004/09/24);British Columbia;M;"Liberal Party of Canada (2004/02/04 - 2004/09/24)
Independent (1970/10/07 - 2004/02/03)"
Layton, Robert E.J.;1925-12-24;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Lachine--Lac-Saint-Louis (1988/11/21 - 1993/10/24)
Lachine (1984/09/04 - 1988/11/20)";"Quebec
Quebec";M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Leblanc, Fernand-E.;1917-06-30;"MP (1964/02/10 - 1979/03/26)
Senator (1979/03/27 - 1992/07/01)";"Saurel (1979/03/27 - 1992/07/01)
Laurier (1964/02/10 - 1979/03/26)";"Quebec
Quebec";M;Liberal Party of Canada (1964/02/10 - 1992/07/01)
LeBlanc, Francis G.;1953-12-21;MP (1988/11/21 - 1997/06/01);Cape Breton Highlands--Canso (1988/11/21 - 1997/06/01);Nova Scotia;M;Liberal Party of Canada (1988/11/21 - 1997/06/01)
Leblanc, Nic;1941-11-14;MP (1984/09/04 - 1997/06/01);Longueuil (1984/09/04 - 1997/06/01);Quebec;M;"Independent Sovereignist (1997/03/17 - 1997/06/01)
Bloc Québécois (1990/12/20 - 1997/03/16)
Independent (1990/06/26 - 1990/12/19)
Progressive Conservative Party (1984/09/04 - 1990/06/25)"
LeBlanc, Roméo;1927-12-17;"MP (1972/10/30 - 1984/06/28)
Senator (1984/06/29 - 1994/11/21)";"Beauséjour (1984/06/29 - 1994/11/21)
Westmorland--Kent (1972/10/30 - 1984/06/28)";"New Brunswick
New Brunswick";M;Liberal Party of Canada (1972/10/30 - 1994/11/21)
LeBreton, Marjory;1940-07-03;Senator (1993/06/18 - 2015/07/04);Ontario (1993/06/18 - 2015/07/04);Ontario;F;"Conservative Party of Canada (2003/12/09 - 2015/07/04)
Progressive Conservative Party (1993/06/18 - 2003/12/08)"
Lee, Derek Vincent;1948-10-01;MP (1988/11/21 - 2011/05/01);Scarborough--Rouge River (1988/11/21 - 2011/05/01);Ontario;M;Liberal Party of Canada (1988/11/21 - 2011/05/01)
Lefebvre, Thomas;1927-05-22;"MP (1979/05/22 - 1984/07/08)
MP (1968/06/25 - 1979/05/21)
MP (1965/11/08 - 1968/06/24)
Senator (1984/07/09 - 1992/11/20)";"De Lanaudière (1984/07/09 - 1992/11/20)
Pontiac--Gatineau--Labelle (1979/05/22 - 1984/07/08)
Pontiac (1968/06/25 - 1979/05/21)
Pontiac--Témiscamingue (1965/11/08 - 1968/06/24)";"Quebec
Quebec
Quebec
Quebec";M;Liberal Party of Canada (1965/11/08 - 1992/11/20)
Lewis, Douglas Grinslade;1938-04-16;MP (1979/05/22 - 1993/10/24);Simcoe North (1979/05/22 - 1993/10/24);Ontario;M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
Lewis, Philip Derek;1924-11-27;Senator (1978/03/23 - 1999/11/28);St. John's (1978/03/23 - 1999/11/28);Newfoundland and Labrador;M;Liberal Party of Canada (1978/03/23 - 1999/11/28)
Littlechild, Wilton (Willie);1944-03-31;MP (1988/11/21 - 1993/10/24);Wetaskiwin (1988/11/21 - 1993/10/24);Alberta;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Loiselle, Gilles;1929-05-19;"MP (1990/12/19 - 1993/10/24)
MP (1988/11/21 - 1990/12/18)";"Québec (1990/12/19 - 1993/10/24)
Langelier (1988/11/21 - 1990/12/18)";"Quebec
Quebec";M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Lopez, Ricardo;1937-02-12;MP (1984/09/04 - 1993/10/24);Châteauguay (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/25)
Lucier, Paul;1930-07-28;Senator (1975/10/23 - 1999/07/23);Yukon (1975/10/23 - 1999/07/23);Yukon;M;Liberal Party of Canada (1975/10/23 - 1999/07/23)
Lynch-Staunton, John;1930-06-18;Senator (1990/09/23 - 2005/06/19);Grandville (1990/09/23 - 2005/06/19);Quebec;M;"Conservative Party of Canada (2004/02/02 - 2005/06/19)
Progressive Conservative Party (1990/09/23 - 2004/02/01)"
MacAulay, Lawrence;1946-09-08;MP (1988/11/21 - );Cardigan (1988/11/21 - );Prince Edward Island;M;Liberal Party of Canada (1988/11/21 - )
MacDonald, David Samuel Horne;1936-08-19;"MP (1988/11/21 - 1993/10/24)
MP (1968/06/25 - 1980/02/17)
MP (1965/11/08 - 1968/06/24)";"Rosedale (1988/11/21 - 1993/10/24)
Egmont (1968/06/25 - 1980/02/17)
Prince (1965/11/08 - 1968/06/24)";"Ontario
Prince Edward Island
Prince Edward Island";M;"Progressive Conservative Party (1988/11/21 - 1993/10/24)
Progressive Conservative Party (1965/11/08 - 1980/02/17)"
MacDonald, Finlay;1923-01-03;Senator (1984/12/21 - 1998/01/04);Halifax (1984/12/21 - 1998/01/04);Nova Scotia;M;Progressive Conservative Party (1984/12/21 - 1998/01/04)
Macdonald, John Michael;1906-05-02;Senator (1960/06/24 - 1997/06/20);Cape Breton (1960/06/24 - 1997/06/20);Nova Scotia;M;Progressive Conservative Party (1960/06/24 - 1997/06/20)
MacDonald, Ronald;1955-06-22;MP (1988/11/21 - 1997/06/01);Dartmouth (1988/11/21 - 1997/06/01);Nova Scotia;M;Liberal Party of Canada (1988/11/21 - 1997/06/01)
MacDougall, John Alexander Frances;1947-04-19;"MP (1993/03/29 - 1993/10/24)
MP (1982/10/12 - 1993/03/28)";"Timiskaming--French River (1993/03/29 - 1993/10/24)
Timiskaming (1982/10/12 - 1993/03/28)";"Ontario
Ontario";M;Progressive Conservative Party (1982/10/12 - 1993/10/24)
MacEachen, Allan Joseph;1921-07-05;"MP (1968/06/25 - 1984/06/28)
MP (1962/06/18 - 1968/06/24)
MP (1953/08/10 - 1958/03/30)
Senator (1984/06/29 - 1996/07/06)";"Highlands-Canso (1984/06/29 - 1996/07/06)
Cape Breton Highlands--Canso (1968/06/25 - 1984/06/28)
Inverness--Richmond (1962/06/18 - 1968/06/24)
Inverness--Richmond (1953/08/10 - 1958/03/30)";"Nova Scotia
Nova Scotia
Nova Scotia
Nova Scotia";M;"Liberal Party of Canada (1962/06/18 - 1996/07/06)
Liberal Party of Canada (1953/08/10 - 1958/03/30)"
MacKay, Elmer MacIntosh;1936-08-04;"MP (1984/09/04 - 1993/10/24)
MP (1971/05/31 - 1983/06/15)";"Central Nova (1984/09/04 - 1993/10/24)
Central Nova (1971/05/31 - 1983/06/15)";"Nova Scotia
Nova Scotia";M;"Progressive Conservative Party (1984/09/04 - 1993/10/24)
Progressive Conservative Party (1971/05/31 - 1983/06/15)"
MacLaren, Roy;1934-10-25;"MP (1988/11/21 - 1996/01/24)
MP (1979/05/22 - 1984/09/03)";"Etobicoke North (1988/11/21 - 1996/01/24)
Etobicoke North (1979/05/22 - 1984/09/03)";"Ontario
Ontario";M;"Liberal Party of Canada (1988/11/21 - 1996/01/24)
Liberal Party of Canada (1979/05/22 - 1984/09/03)"
MacLellan, Russell Gregoire;1940-01-15;"MP (1988/11/21 - 1997/06/01)
MP (1979/05/22 - 1988/11/20)";"Cape Breton--The Sydneys (1988/11/21 - 1997/06/01)
Cape Breton--The Sydneys (1979/05/22 - 1988/11/20)";"Nova Scotia
Nova Scotia";M;Liberal Party of Canada (1979/05/22 - 1997/06/01)
Macquarrie, Heath Nelson;1919-09-17;"MP (1968/06/25 - 1979/05/21)
MP (1957/06/10 - 1968/06/24)
Senator (1979/10/03 - 1994/09/18)";"Hillsborough (1979/10/03 - 1994/09/18)
Hillsborough (1968/06/25 - 1979/05/21)
Queen's (1957/06/10 - 1968/06/24)";"Prince Edward Island
Prince Edward Island
Prince Edward Island";M;Progressive Conservative Party (1957/06/10 - 1994/09/18)
MacWilliam, Lyle Dean;1949-07-30;MP (1988/11/21 - 1993/10/24);Okanagan--Shuswap (1988/11/21 - 1993/10/24);British Columbia;M;New Democratic Party (1988/11/21 - 1993/10/24)
Maheu, Shirley;1931-10-06;"MP (1989/12/29 - 1996/01/31)
MP (1988/11/21 - 1989/12/28)
Senator (1996/02/01 - 2006/02/01)";"Rougemont (1996/02/01 - 2006/02/01)
Saint-Laurent--Cartierville (1989/12/29 - 1996/01/31)
Saint-Laurent (1988/11/21 - 1989/12/28)";"Quebec
Quebec
Quebec";F;Liberal Party of Canada (1988/11/21 - 2006/02/01)
Malépart, Jean-Claude;1938-12-02;"MP (1988/11/21 - 1989/11/16)
MP (1984/09/04 - 1988/11/20)
MP (1979/05/22 - 1984/09/03)";"Laurier--Sainte-Marie (1988/11/21 - 1989/11/16)
Montreal--Sainte Marie (1984/09/04 - 1988/11/20)
Sainte-Marie (1979/05/22 - 1984/09/03)";"Quebec
Quebec
Quebec";M;Liberal Party of Canada (1979/05/22 - 1989/11/16)
Malone, Arnold John;1937-12-08;"MP (1979/05/22 - 1993/10/24)
MP (1974/07/08 - 1979/05/21)";"Crowfoot (1979/05/22 - 1993/10/24)
Battle River (1974/07/08 - 1979/05/21)";"Alberta
Alberta";M;Progressive Conservative Party (1974/07/08 - 1993/10/24)
Manley, John Paul;1950-01-04;MP (1988/11/21 - 2004/06/27);Ottawa South (1988/11/21 - 2004/06/27);Ontario;M;Liberal Party of Canada (1988/11/21 - 2004/06/27)
Marchand, Len;1933-11-15;"MP (1968/06/25 - 1979/05/21)
Senator (1984/06/29 - 1998/03/01)";"Kamloops-Cariboo (1984/06/29 - 1998/03/01)
Kamloops--Cariboo (1968/06/25 - 1979/05/21)";"British Columbia
British Columbia";M;"Liberal Party of Canada (1984/06/29 - 1998/03/01)
Liberal Party of Canada (1968/06/25 - 1979/05/21)"
Marchi, Sergio;1956-05-11;MP (1984/09/04 - 1999/08/02);York West (1984/09/04 - 1999/08/02);Ontario;M;Liberal Party of Canada (1984/09/04 - 1999/08/02)
Marin, Charles-Eugène;1925-10-28;MP (1984/09/04 - 1993/10/24);Gaspé (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Marleau, Diane;1943-06-20;MP (1988/11/21 - 2008/10/13);Sudbury (1988/11/21 - 2008/10/13);Ontario;F;Liberal Party of Canada (1988/11/21 - 2008/10/13)
Marsden, Lorna;1942-03-05;Senator (1984/01/24 - 1992/08/31);Toronto-Taddle Creek (1984/01/24 - 1992/08/31);Ontario;F;Liberal Party of Canada (1984/01/24 - 1992/08/31)
Marshall, Jack;1919-11-25;"MP (1968/06/25 - 1978/03/22)
Senator (1978/03/23 - 1994/11/26)";"Humber-St. George's-St. Barbe (1978/03/23 - 1994/11/26)
Humber--St. George's--St. Barbe (1968/06/25 - 1978/03/22)";"Newfoundland and Labrador
Newfoundland and Labrador";M;Progressive Conservative Party (1968/06/25 - 1994/11/26)
Martin, Paul Edgar Philippe;1938-08-27;MP (1988/11/21 - 2008/10/13);LaSalle--Émard (1988/11/21 - 2008/10/13);Quebec;M;Liberal Party of Canada (1988/11/21 - 2008/10/13)
Martin, Shirley;1932-11-19;MP (1984/09/04 - 1993/10/24);Lincoln (1984/09/04 - 1993/10/24);Ontario;F;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Masse, Marcel;1936-05-26;MP (1984/09/04 - 1993/10/24);Frontenac (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Mayer, Charles James;1936-04-20;"MP (1988/11/21 - 1993/10/24)
MP (1979/05/22 - 1988/11/20)";"Lisgar--Marquette (1988/11/21 - 1993/10/24)
Portage--Marquette (1979/05/22 - 1988/11/20)";"Manitoba
Manitoba";M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
Mazankowski, Donald Frank;1935-07-26;MP (1968/06/25 - 1993/10/24);Vegreville (1968/06/25 - 1993/10/24);Alberta;M;Progressive Conservative Party (1968/06/25 - 1993/10/24)
McCreath, Peter L.;1943-07-04;MP (1988/11/21 - 1993/10/24);South Shore (1988/11/21 - 1993/10/24);Nova Scotia;M;Progressive Conservative Party (1988/11/21 - 1993/10/25)
McCurdy, Howard Douglas;1932-12-09;"MP (1989/12/29 - 1993/10/24)
MP (1988/11/21 - 1989/12/28)
MP (1984/09/04 - 1988/11/20)";"Windsor--St. Clair (1989/12/29 - 1993/10/24)
Windsor--Lake St. Clair (1988/11/21 - 1989/12/28)
Windsor--Walkerville (1984/09/04 - 1988/11/20)";"Ontario
Ontario
Ontario";M;New Democratic Party (1984/09/04 - 1993/10/24)
McDermid, John Horton;1940-03-16;"MP (1988/11/21 - 1993/10/24)
MP (1979/05/22 - 1988/11/20)";"Brampton (1988/11/21 - 1993/10/24)
Brampton--Georgetown (1979/05/22 - 1988/11/20)";"Ontario
Ontario";M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
McDougall, Barbara Jean;1937-11-11;MP (1984/09/04 - 1993/10/24);St. Paul's (1984/09/04 - 1993/10/24);Ontario;F;Progressive Conservative Party (1984/09/04 - 1993/10/24)
McElman, Charles Robert;1920-06-17;Senator (1966/02/24 - 1990/04/01);Nashwaak Valley (1966/02/24 - 1990/04/01);New Brunswick;M;Liberal Party of Canada (1966/02/24 - 1990/04/01)
McGuire, Joseph Blair (Joe);1944-06-19;MP (1988/11/21 - 2008/10/13);Egmont (1988/11/21 - 2008/10/13);Prince Edward Island;M;Liberal Party of Canada (1988/11/21 - 2008/10/13)
McKnight, William Hunter (Bill);1940-07-11;MP (1979/05/22 - 1993/10/24);Kindersley--Lloydminster (1979/05/22 - 1993/10/24);Saskatchewan;M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
McLaughlin, Audrey Marlene;1936-11-06;MP (1987/07/20 - 1997/06/01);Yukon (1987/07/20 - 1997/06/01);Yukon;F;New Democratic Party (1987/07/20 - 1997/06/01)
McLean, Walter Franklin;1936-04-25;MP (1979/05/22 - 1993/10/24);Waterloo (1979/05/22 - 1993/10/24);Ontario;M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
Meighen, Michael A.;1939-03-24;Senator (1990/09/27 - 2012/02/06);St. Marys (1990/09/27 - 2012/02/06);Ontario;M;"Conservative Party of Canada (2004/02/02 - 2012/02/06)
Progressive Conservative Party (1990/09/27 - 2004/02/01)"
Merrithew, Gerald Stairs;1931-09-22;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Saint John (1988/11/21 - 1993/10/24)
Saint John (1984/09/04 - 1988/11/20)";"New Brunswick
New Brunswick";M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Mifflin, Fred J.;1938-02-05;MP (1988/11/21 - 2000/11/26);Bonavista--Trinity--Conception (1988/11/21 - 2000/11/26);Newfoundland and Labrador;M;Liberal Party of Canada (1988/11/21 - 2000/11/26)
Milliken, Peter Andrew Stewart;1946-11-11;MP (1988/11/21 - 2011/05/01);Kingston and the Islands (1988/11/21 - 2011/05/01);Ontario;M;Liberal Party of Canada (1988/11/21 - 2011/05/01)
Mills, Dennis Joseph;1946-07-18;"MP (2000/06/29 - 2004/06/27)
MP (1988/11/21 - 2000/06/28)";"Toronto--Danforth (2000/06/29 - 2004/06/27)
Broadview--Greenwood (1988/11/21 - 2000/06/28)";"Ontario
Ontario";M;"Liberal Party of Canada (1996/08/07 - 2004/06/27)
Independent Liberal (1996/05/08 - 1996/08/06)
Liberal Party of Canada (1988/11/21 - 1996/05/07)"
Mitchell, Margaret Anne;1925-07-16;MP (1979/05/22 - 1993/10/24);Vancouver East (1979/05/22 - 1993/10/24);British Columbia;F;New Democratic Party (1979/05/22 - 1993/10/24)
Mitges, Constantine George (Gus);1919-02-04;"MP (1988/11/21 - 1993/10/24)
MP (1972/10/30 - 1988/11/20)";"Bruce--Grey (1988/11/21 - 1993/10/24)
Grey--Simcoe (1972/10/30 - 1988/11/20)";"Ontario
Ontario";M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Molgat, Gildas L.;1927-01-24;Senator (1970/10/07 - 2001/02/28);Ste-Rose (1970/10/07 - 2001/02/28);Manitoba;M;Liberal Party of Canada (1970/10/07 - 2001/02/28)
Molson, Hartland de Montarville;1907-05-28;Senator (1955/07/28 - 1993/05/31);Alma (1955/07/28 - 1993/05/31);Quebec;M;Independent (1955/07/28 - 1993/05/31)
